"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
5229125,6,20 OZ,IMP/MCC,SPICE ONION POWDER,974307,N,0.0,0.0,0.0,1.0,7.15,7.15,1.25,7.15
3336049,42,.88 OZ,KELLOGG,SNACK BAR ASST SPEC K,3800012516,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0141671,4,1 GAL,BBRLCLS,RELISH PICKLE DILL,4320,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6031741,4,.5 GAL,MINOR,SAUCE GENERAL TSO,50000313105USL,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9907433,12,16 OZ,SMPLYPB,TOFU EXTRA FIRM WTR PK NON-GMO,140549,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4185819,3,3 L,SUNKSTS,JUICE CONC FRZ GRAPE 50%,12305376,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7493828,6,5LB,MCCAIN,POTATO FRY THIN REG FLVRLST,MCF03791,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9792607,6,46 OZ,SYS CLS,PIE PUMPKIN RTB 10,7213,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3009998,4,6LB,SYS CLS,POTATO CKD MASHED YELLOW DELUX,34730-48596-00,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7485808,500,2 PK,LANCE,CRACKER CAPTAIN WAFR,790469750,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7287758,72,4 OZ,SYS CLS,CORN DOG ALL MEAT HNY BTR,87758,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995705,20,50CT,SYS CLS,CUP PAPER WHT HOT 8 OZ,D8HCWSYS,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396766,84,2.25OZ,OTSPKMY,DANISH ASST APL/CHES/CHERRY,80991,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1412667,240,1.33OZ,OTSPKMY,DOUGH COOKIE OATMEAL RSN,58803,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8685364,84,3.5OZ,BKRSIMP,DOUGH CROISSANT CHOCOLATE,3150,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277267,2,24 CT,BLU BNY,ICE CREAM BAR SUND STRAW KRNCH,70640304110,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280239,24,20 OZ,GATRADE,DRINK GRAPE FIERCE WIDEMOUTH,1005200324829,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069749,240,1.25OZ,RICHS,DOUGH ROLL CINNAMON PET,3480,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7468531,24,20 OZ,GATRADE,DRINK RASP COOL BLUE WIDEMOUTH,10052000324812,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2568475,96,2.5 OZ,CASACLS,ENCHILADA CHEESE JACK&CHDR,2568475,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3062542,2,5#,JHNSVLE,BRATWURST 5X1 PRCK 5.5 A/C,101544,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4297784,4,43.5OZ,GM,CEREAL GOLDEN GRAHAM BULKPAK,16000-11989,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
