"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
1263615,12,2.5 LB,SYS CLS,PEA & CARROT GR A P,74865-07850,N,2.0,74.27,37.135,0.0,0.0,0.0,60.0,74.27
4008116,1,10 LB,KEEBLER,CRACKER GRAHAM HONEY,3010020248,N,2.0,73.5,36.75,0.0,0.0,0.0,20.0,73.5
0834697,10,100 CT,SYSTRNZ,TOWELETTE MOIST LMN SCENT 8X5,6700083,N,5.0,73.45,14.69,0.0,0.0,0.0,39.5,73.45
4672874,4,10 LB,SYS CLS,CHICKEN CVP BRST TRM SMBIRD FZ,4321713,N,1.0,73.26,73.26,0.0,0.0,0.0,40.0,73.26
4045621,12,16 OZ,GM,MIX CAKE ANGEL FOOD COMPLT,16000-11195,N,1.0,73.24,73.24,0.0,0.0,0.0,12.0,73.24
4528461,24,250 CT,SYS IMP,NAPKIN DISP COMP360 1PLY NAT,4528461,N,2.0,72.88,36.44,0.0,0.0,0.0,36.46,72.88
5465695,4,1 GAL,SYS REL,DRESSING ITALIAN GOLDEN,72248SYS,N,3.0,72.63,24.21,0.0,0.0,0.0,102.45,72.63
5786942,200,9 GM,PPI,MAYONNAISE PACKET,716037215705,N,10.0,72.5,7.25,0.0,0.0,0.0,39.69,72.5
2427326,2,45CT,ATHENS,PASTRY SHELL PHYLLO 1 IN,7244,N,6.0,72.42,12.07,0.0,0.0,0.0,4.26,72.42
4510921,5,2 LB,SYS CLS,COCONUT SNOWFLAKE SWEETENED,10078982013223,N,3.0,71.67,23.89,0.0,0.0,0.0,30.0,71.67
5017900,6,#10,AREZIMP,PEPPER RED FIRE RSTD STRIPS,1055603060310,N,1.0,71.5,71.5,0.0,0.0,0.0,38.25,71.5
7187004,4,112 OZ,GHIRAD,MIX CAKE CHOCOLATE ULTIMATE,732-6120,N,1.0,71.32,71.32,0.0,0.0,0.0,30.5,71.32
4944203,6,1 LB,SYS IMP,SOUP BASE BEEF REAL,72805SYS,N,2.0,70.98,35.49,0.0,0.0,0.0,12.0,70.98
0758401,24,4 IN,UDISHFD,BUN HAMBURGER GLUTEN FREE IW,9899780644,N,3.0,70.89,23.63,0.0,0.0,0.0,19.2,70.89
5531666,1,72 CT,MAMA T,PIE ASST 3 IND WRP,16985,N,1.0,70.44,70.44,0.0,0.0,0.0,10.0,70.44
6483853,8,38OZ,DAWN D,DETERGENT HAND LIQ DISHWASHING,3700045112,N,2.0,70.26,35.13,0.0,0.0,0.0,40.0,70.26
5814397,6,1 LB,MINOR,SOUP BASE VGTBLE LO- SODIUM GF,74826057067USL,N,2.0,70.04,35.02,0.0,0.0,0.0,12.0,70.04
4006649,500,1/5 OZ,HEINZ,MUSTARD YELLOW PACKETS MILD,10013000530504,N,6.0,69.78,11.63,0.0,0.0,0.0,35.7,69.78
4093373,6,2.5 KG,INTLIMP,ARTICHOKE HEART QUARTER,4093373,N,1.0,69.61,69.61,0.0,0.0,0.0,33.1,69.61
5847029,3,1 GAL,AREZCLS,OIL OLIVE,311151,N,1.0,69.52,69.52,0.0,0.0,0.0,23.0,69.52
