Category,Item #,Pack,Size,Brand,Description,MPC Code,CW,Cs Qty,Cs Total $,Cs Avg $,Split Qty,Split Total $,Split Avg $,Weight,Total Sales $
NA,7626013,1.0,35 LB,SYS CLS,SHORTENING FRY CANOLA CLR ZTF,110032616,N,4.0,167.36,41.84,0.0,0.0,0.0,140.0,167.36
NA,1323939,3.0,5 LB,BBRLIMP,CHEESE CUBE CHED/SWISS/PEP JCK,1012269,N,4.0,166.19,41.5475,0.0,0.0,0.0,60.0,166.19
NA,6046902,8.0,6-9#AV,BCH BLK,PORK BUTT BNLS 1/4 6-9#EA,6916,Y,1.0,161.99,161.99,0.0,0.0,0.0,59.6,161.99
NA,7670021,2.0,1GAL,KEYSTON,DELIMER DESCALER LIME AWAY RTU,6100053,N,4.0,159.2,39.8,0.0,0.0,0.0,68.8,159.2
NA,4295978,24.0,10 OZ,CAN DRY,SODA TONIC WATER,1690000303,N,11.0,158.95,14.45,0.0,0.0,0.0,319.0,158.95
NA,7435332,1.0,24IN,SYS CLS,FILM PVC 2000FT ROLL,9068,N,6.0,155.7,25.95,0.0,0.0,0.0,76.2,155.7
NA,5231238,4.0,10 LB,SYS REL,CHICKEN CVP BRST BS RDM JB MAR,78205,N,2.0,154.84,77.42,0.0,0.0,0.0,80.0,154.84
NA,7285455,1.0,20 LB,SYS REL,MANGO CHUNK IQF,74865452298,N,4.0,153.62,38.405,0.0,0.0,0.0,84.0,153.62
NA,4190080,3.0,3 L,SUNKSTS,JUICE CONC FRZ ORG GV PAS 5+1,12306059,N,3.0,153.3,51.1,0.0,0.0,0.0,74.46,153.3
NA,2282234,12.0,2 LB,SYS CLS,SPINACH CHOPPED IQF,10074865280454,N,4.0,152.44,38.11,0.0,0.0,0.0,96.0,152.44
NA,5684618,3.0,1.5GAL,COFMATE,CREAMER COFFEE LIQ FRNCH VAN,50000411221USL,N,2.0,152.0,76.0,0.0,0.0,0.0,82.462,152.0
NA,8850919,20.0,50 CT,FABRKAL,CUP PLAS CLR GREENWARE 9 OZ,9509100,N,2.0,151.88,75.94,0.0,0.0,0.0,35.28,151.88
NA,1994294,6.0,5LB,SYS REL,POTATO FRY KK 1/2,10734730408559,N,6.0,151.2,25.2,0.0,0.0,0.0,180.0,151.2
NA,4826164,40.0,4OZ,BEYMEAT,BURGER VEG BEYOND PATTY,4668,N,2.0,147.7,73.85,0.0,0.0,0.0,20.0,147.7
